               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 122,            0.021024,           0.0078709,            0.014383,             0.77311,             0.56867,              0.6442,             0.58061,            0.026452,           0.0034346,             0.01673,            0.006007,            0.006007,            0.006007
                 123,            0.019925,           0.0081012,            0.012696,             0.82439,              0.5438,             0.67846,               0.606,            0.028486,           0.0035389,            0.018984,            0.005974,            0.005974,            0.005974
                 124,             0.02032,           0.0079659,             0.01525,             0.76765,             0.53041,              0.6325,             0.56947,            0.027622,           0.0044407,            0.015325,            0.005941,            0.005941,            0.005941
                 125,            0.020395,           0.0075022,            0.013409,             0.88374,             0.57176,             0.64972,             0.57936,            0.027626,           0.0039002,            0.014327,            0.005908,            0.005908,            0.005908
                 126,            0.019708,           0.0077144,            0.012757,              0.8652,             0.57236,             0.62522,             0.54711,            0.027137,           0.0042956,            0.016297,            0.005875,            0.005875,            0.005875
                 127,             0.02099,           0.0079638,            0.015988,             0.82157,             0.60247,             0.63586,             0.57467,            0.026687,           0.0041187,            0.012987,            0.005842,            0.005842,            0.005842
                 128,            0.019866,           0.0076547,            0.015419,              0.7351,              0.6241,             0.69921,             0.63108,            0.026367,           0.0040822,            0.012437,            0.005809,            0.005809,            0.005809
                 129,            0.019963,           0.0074175,            0.014935,             0.81016,             0.55559,              0.7132,              0.6427,            0.025801,           0.0039403,            0.012656,            0.005776,            0.005776,            0.005776
                 130,            0.019975,           0.0073436,            0.013865,             0.85543,             0.59496,             0.73577,             0.64416,            0.027447,           0.0033649,            0.011032,            0.005743,            0.005743,            0.005743
                 131,            0.021039,           0.0083844,            0.013802,             0.87862,             0.58414,             0.71835,             0.64346,             0.02684,            0.003441,            0.011646,             0.00571,             0.00571,             0.00571
